sep=,
Data Mastering,Country,Region,Block,Prospect,Field Name,Well Name,UBHI,Wellbore Name,Wellbore Common Name,Current Operator,Original Operator,Well Existence,Wellbore Situation,Start Date,Spud Date,Spud Year,Completion Date,Abandon Date,TD Date,Water Depth [m],Ground Elevation [m],Total Depth [m],TVDDF [m],TVDSS [m],Reference Point (for TD),DF Elevation [m],KB Elevation [m],RT Elevation [m],Original Vertical Measurement Unit,Phase,Preferred Name,Wellbore Classification,Current Status,Hydrocarbon Type,Trajectory Shape,Top Latitude,Top Longitude,QC Status,Resource Security Classification,App Readiness,Default Vertical Measurement ID,Definitive Trajectory ID
Master,Malaysia,PM,PM8E,,SELIGI,SELIGI-G29,1000043279,SELIGI-G29,SeG-29,ENQUEST PETROLEUM PRODUCTION MALAYSIA LIMITED,ENQUEST PETROLEUM PRODUCTION MALAYSIA LIMITED,Actual,Offshore,,12-6-2025,2025,,,29-7-2025,73.00,,3032.00,1327.42,,KB,,33.53,,metre,Develop,1000043279,,,,Deviated,,,High,INTERNAL USE,false,MSL,
Master,Malaysia,PM,PM8E,,SELIGI,SELIGI-C41,1000043281,SELIGI-C41ST1,SeC-41ST1,ENQUEST PETROLEUM PRODUCTION MALAYSIA LIMITED,ENQUEST PETROLEUM PRODUCTION MALAYSIA LIMITED,Actual,Offshore,,04-3-2025,2025,,,26-4-2025,73.00,,3256.67,1635.86,,KB,,33.53,,metre,Develop,1000043281,,,,Deviated,,,High,INTERNAL USE,false,MSL,
Master,Malaysia,PM,PM8E,,SELIGI,SELIGI-E32,1000043322,SELIGI-E32,SeE-32,,ENQUEST PETROLEUM PRODUCTION MALAYSIA LIMITED,Planned,Offshore,,,,,,,73.00,,,,,,32.46,,,metre,Develop,1000043322,,,,,,,High,INTERNAL USE,false,MSL,
Master,Malaysia,PM,PM8E,,SELIGI,SELIGI-G30,1000043280,SELIGI-G30,SeG-30,ENQUEST PETROLEUM PRODUCTION MALAYSIA LIMITED,ENQUEST PETROLEUM PRODUCTION MALAYSIA LIMITED,Actual,Offshore,,18-7-2025,2025,,,07-8-2025,73.00,,2827.00,2241.72,,KB,,33.53,,metre,Develop,1000043280,,,,Deviated,,,High,INTERNAL USE,false,MSL,
Master,Malaysia,PM,PM8E,,SELIGI,SELIGI-E32,1000043323,SELIGI-E32ST1,SeE-32ST1,,ENQUEST PETROLEUM PRODUCTION MALAYSIA LIMITED,Planned,Offshore,,,,,,,73.00,,,,,,32.46,,,metre,Develop,1000043323,,,,,,,High,INTERNAL USE,false,MSL,
Master,Malaysia,PM,PM515,,TAPIS,TAPIS DEEP-1,1000043192,TAPIS DEEP-1,TAPIS DEEP-1,,PETRONAS CARIGALI SDN. BHD.,Planned,Offshore,,,,,,,65.00,,,,,,30.00,,,metre,Explore,1000043192,,,,,5.520606,105.000576,High,INTERNAL USE,true,MSL,
Master,Malaysia,PM,PM9,,PULAI,PULAI-A21,1000001698,PULAI-A21,PULAI-A21,PETRONAS CARIGALI SDN. BHD.,EXXONMOBIL EXPLORATION AND PRODUCTION MALAYSIA INC.,Actual,Offshore,,27-3-1979,1979,11-6-1980,,,74.68,,1938.83,1272.54,1241.15,KB,,31.39,,foot,Develop,MYSPULI-A021,[petronas-osdu:reference-data--FacilityStateType:Unknown:],Completed,,,5.328969,105.490743,High,INTERNAL USE,true,MSL,PULAI-A21 - Trajectory - 271994308
Master,Malaysia,SK,SK318,,MARJORAM,MARJORAM-1,1000013024,MARJORAM-1,MARJORAM-1,SARAWAK SHELL BERHAD,SARAWAK SHELL BERHAD,Actual,Offshore,,03-5-2014,2014,03-7-2014,03-7-2014,20-6-2014,731.22,,3925.82,3333.90,,DF,26.40,26.40,,foot,Explore,MYSMRJM00001,[petronas-osdu:reference-data--FacilityStateType:Wildcat:],"P&A, unknown",,Deviated,5.323963,112.846456,High,INTERNAL USE,true,MSL,MARJORAM-1 - Trajectory - 271858802
Master,Malaysia,PM,PM302,,BERGADING,BERGADING-A10,1000023341,BERGADING-A10ST1,BERGADING-A10ST1,HESS EXPLORATION AND PRODUCTION MALAYSIA B.V.,HESS EXPLORATION AND PRODUCTION MALAYSIA B.V.,Actual,Offshore,13-8-2018,13-8-2018,2018,20-5-2019,,20-4-2019,55.78,,4421.12,2646.21,,DF,42.98,,,foot,Develop,1000023341,[petronas-osdu:reference-data--FacilityStateType:Unknown:],Unknown,,Deviated,7.134165,103.420829,High,INTERNAL USE,true,MSL,BERGADING-A10ST1 - Trajectory - 272109011
Master,Malaysia,PM,2008 PSC,,TABU,TABU-4,1000002303,TABU-4,TABU-4,EXXONMOBIL EXPLORATION AND PRODUCTION MALAYSIA INC.,EXXONMOBIL EXPLORATION AND PRODUCTION MALAYSIA INC.,Actual,Offshore,,05-10-1980,1980,,03-11-1980,,59.13,,2636.52,1446.58,,KB,,14.33,14.33,foot,Explore,MYSTABU00004,[petronas-osdu:reference-data--FacilityStateType:Appraisal:],"P&A, oil and gas show",,,5.665692,104.916640,High,INTERNAL USE,true,MSL,
